date,open,high,low,close,volume
2021-04-20 20:30:00+00:00,1.20342,1.20354,1.20338,1.20352,107
2021-04-20 20:35:00+00:00,1.20351,1.20354,1.20341,1.20341,91
2021-04-20 20:40:00+00:00,1.20342,1.20348,1.2034,1.20344,74
2021-04-20 20:45:00+00:00,1.20342,1.2036,1.20342,1.20356,78
2021-04-20 20:50:00+00:00,1.20356,1.20364,1.20351,1.20358,91
2021-04-20 20:55:00+00:00,1.20357,1.2037,1.20351,1.20364,139
2021-04-20 21:00:00+00:00,1.2034,1.20346,1.2034,1.20346,4
2021-04-20 21:05:00+00:00,1.20342,1.20347,1.20342,1.20347,2
2021-04-20 21:25:00+00:00,1.20343,1.20352,1.20343,1.20352,2
2021-04-20 21:30:00+00:00,1.20344,1.2036,1.20344,1.20349,9
2021-04-20 21:35:00+00:00,1.20346,1.20349,1.20346,1.20349,2
2021-04-20 21:40:00+00:00,1.20352,1.20352,1.20352,1.20352,1
2021-04-20 21:50:00+00:00,1.20354,1.20354,1.20354,1.20354,1
2021-04-20 21:55:00+00:00,1.20352,1.20352,1.20333,1.20346,8
2021-04-20 22:00:00+00:00,1.20354,1.20362,1.20344,1.20345,64
2021-04-20 22:05:00+00:00,1.20346,1.20346,1.20336,1.20338,20
2021-04-20 22:10:00+00:00,1.20336,1.20346,1.20336,1.20346,31
2021-04-20 22:15:00+00:00,1.20345,1.20351,1.20345,1.20346,30
2021-04-20 22:20:00+00:00,1.20345,1.20362,1.20345,1.20362,32
2021-04-20 22:25:00+00:00,1.20364,1.2037,1.20355,1.20356,46
2021-04-20 22:30:00+00:00,1.20356,1.20356,1.20326,1.20326,53
2021-04-20 22:35:00+00:00,1.20328,1.2033,1.20323,1.20327,17
2021-04-20 22:40:00+00:00,1.2033,1.20334,1.20324,1.20332,18
2021-04-20 22:45:00+00:00,1.2033,1.20333,1.20326,1.20333,13
2021-04-20 22:50:00+00:00,1.20331,1.20344,1.20328,1.20341,22
2021-04-20 22:55:00+00:00,1.20342,1.2036,1.20334,1.20335,53
2021-04-20 23:00:00+00:00,1.20336,1.20336,1.20316,1.20316,38
2021-04-20 23:05:00+00:00,1.20318,1.20327,1.20315,1.2032,44
2021-04-20 23:10:00+00:00,1.20322,1.20322,1.20307,1.20316,41
2021-04-20 23:15:00+00:00,1.20317,1.20319,1.2031,1.20318,31
2021-04-20 23:20:00+00:00,1.2032,1.20327,1.20316,1.20316,56
2021-04-20 23:25:00+00:00,1.20315,1.20328,1.20312,1.20327,40
2021-04-20 23:30:00+00:00,1.20325,1.20327,1.20311,1.20317,42
2021-04-20 23:35:00+00:00,1.20316,1.20326,1.20308,1.20326,68
2021-04-20 23:40:00+00:00,1.20326,1.2035,1.20326,1.20346,41
2021-04-20 23:45:00+00:00,1.20346,1.20357,1.20346,1.2035,44
2021-04-20 23:50:00+00:00,1.20348,1.20348,1.2033,1.20336,33
2021-04-20 23:55:00+00:00,1.20336,1.20343,1.20322,1.20325,59
2021-04-21 00:00:00+00:00,1.20326,1.20341,1.20312,1.20338,134
2021-04-21 00:05:00+00:00,1.2034,1.20356,1.2033,1.20352,110
2021-04-21 00:10:00+00:00,1.20351,1.20353,1.20336,1.20347,105
2021-04-21 00:15:00+00:00,1.20349,1.20402,1.20349,1.20391,267
2021-04-21 00:20:00+00:00,1.20389,1.20406,1.20359,1.20367,198
2021-04-21 00:25:00+00:00,1.20368,1.20387,1.20362,1.20376,158
2021-04-21 00:30:00+00:00,1.20376,1.20402,1.20374,1.204,88
2021-04-21 00:35:00+00:00,1.20398,1.20422,1.20395,1.20417,128
2021-04-21 00:40:00+00:00,1.20416,1.20438,1.20408,1.20411,143
2021-04-21 00:45:00+00:00,1.20412,1.20428,1.20411,1.20415,169
2021-04-21 00:50:00+00:00,1.20414,1.20414,1.20368,1.20374,275
2021-04-21 00:55:00+00:00,1.20373,1.20376,1.20337,1.20347,266
2021-04-21 01:00:00+00:00,1.20346,1.2036,1.20344,1.2036,240
2021-04-21 01:05:00+00:00,1.2036,1.20376,1.20358,1.20373,138
2021-04-21 01:10:00+00:00,1.20374,1.20374,1.20344,1.20345,197
2021-04-21 01:15:00+00:00,1.20343,1.20343,1.20314,1.2032,228
2021-04-21 01:20:00+00:00,1.20322,1.20359,1.20316,1.20359,158
2021-04-21 01:25:00+00:00,1.20358,1.20358,1.20333,1.20337,169
2021-04-21 01:30:00+00:00,1.20336,1.20382,1.20322,1.20378,411
2021-04-21 01:35:00+00:00,1.20376,1.20418,1.20368,1.20415,265
2021-04-21 01:40:00+00:00,1.20417,1.20422,1.20401,1.20411,203
2021-04-21 01:45:00+00:00,1.2041,1.20411,1.20389,1.20406,183
2021-04-21 01:50:00+00:00,1.20406,1.20412,1.20386,1.20391,159
2021-04-21 01:55:00+00:00,1.2039,1.20391,1.20364,1.2037,171
2021-04-21 02:00:00+00:00,1.20368,1.20371,1.20338,1.20356,211
2021-04-21 02:05:00+00:00,1.20355,1.2038,1.20346,1.2036,158
2021-04-21 02:10:00+00:00,1.20361,1.20374,1.20358,1.20366,123
2021-04-21 02:15:00+00:00,1.20364,1.20366,1.20346,1.20362,162
2021-04-21 02:20:00+00:00,1.2036,1.2036,1.20328,1.20334,76
2021-04-21 02:25:00+00:00,1.20331,1.20332,1.20306,1.20323,134
2021-04-21 02:30:00+00:00,1.20324,1.20346,1.20324,1.20342,128
2021-04-21 02:35:00+00:00,1.2034,1.20341,1.20309,1.20314,137
2021-04-21 02:40:00+00:00,1.20315,1.20318,1.20284,1.20296,162
2021-04-21 02:45:00+00:00,1.20298,1.2031,1.20292,1.20302,92
2021-04-21 02:50:00+00:00,1.20303,1.20316,1.20303,1.20316,88
2021-04-21 02:55:00+00:00,1.20314,1.20328,1.20314,1.20324,101
2021-04-21 03:00:00+00:00,1.20322,1.2033,1.20316,1.20329,87
2021-04-21 03:05:00+00:00,1.20328,1.20337,1.20316,1.2032,135
2021-04-21 03:10:00+00:00,1.20322,1.20324,1.20314,1.20314,162
2021-04-21 03:15:00+00:00,1.20316,1.20323,1.20306,1.20312,65
2021-04-21 03:20:00+00:00,1.2031,1.20314,1.20301,1.20314,133
2021-04-21 03:25:00+00:00,1.20312,1.20328,1.20308,1.20321,81
2021-04-21 03:30:00+00:00,1.20323,1.20331,1.2032,1.20328,71
2021-04-21 03:35:00+00:00,1.20326,1.20327,1.20306,1.20311,60
2021-04-21 03:40:00+00:00,1.2031,1.20321,1.20309,1.20314,70
2021-04-21 03:45:00+00:00,1.20312,1.20318,1.203,1.203,88
2021-04-21 03:50:00+00:00,1.20301,1.2031,1.20294,1.2031,93
2021-04-21 03:55:00+00:00,1.20309,1.20312,1.20305,1.20306,33
2021-04-21 04:00:00+00:00,1.20306,1.2031,1.20299,1.20301,53
2021-04-21 04:05:00+00:00,1.203,1.20306,1.20287,1.20288,118
2021-04-21 04:10:00+00:00,1.20287,1.20289,1.20275,1.20282,94
2021-04-21 04:15:00+00:00,1.20281,1.20284,1.20274,1.20282,83
2021-04-21 04:20:00+00:00,1.2028,1.2028,1.20272,1.20278,57
2021-04-21 04:25:00+00:00,1.20277,1.20282,1.20268,1.20272,50
2021-04-21 04:30:00+00:00,1.2027,1.20282,1.20266,1.2027,78
2021-04-21 04:35:00+00:00,1.20268,1.20268,1.20252,1.2026,119
2021-04-21 04:40:00+00:00,1.20262,1.20262,1.2025,1.20252,88
2021-04-21 04:45:00+00:00,1.2025,1.20262,1.20246,1.20262,80
2021-04-21 04:50:00+00:00,1.20263,1.2028,1.20262,1.20276,73
2021-04-21 04:55:00+00:00,1.20275,1.2028,1.2027,1.20276,98
2021-04-21 05:00:00+00:00,1.20275,1.2029,1.2026,1.20281,153
2021-04-21 05:05:00+00:00,1.2028,1.20282,1.20262,1.2028,86
2021-04-21 05:10:00+00:00,1.20279,1.2028,1.20266,1.2027,77
2021-04-21 05:15:00+00:00,1.20272,1.20284,1.2026,1.20284,74
2021-04-21 05:20:00+00:00,1.20283,1.203,1.20282,1.20294,91
2021-04-21 05:25:00+00:00,1.20295,1.20304,1.20294,1.20301,87
2021-04-21 05:30:00+00:00,1.203,1.20309,1.203,1.20306,120
2021-04-21 05:35:00+00:00,1.20307,1.20324,1.20296,1.20322,145
2021-04-21 05:40:00+00:00,1.20324,1.20326,1.20306,1.20321,149
2021-04-21 05:45:00+00:00,1.20319,1.2033,1.20305,1.20326,109
2021-04-21 05:50:00+00:00,1.20327,1.20339,1.20316,1.2033,156
2021-04-21 05:55:00+00:00,1.2033,1.20334,1.20308,1.20309,120
2021-04-21 06:00:00+00:00,1.20309,1.2031,1.20269,1.20286,443
